source,target,realValue,layerID,layerColor,layerUnit
Imp. Gasoline,Gasoline,25.32,Gasoline,#808080,TWh
Gasoline,Mob priv,-25.80,Gasoline,#808080,TWh
Imp. Bio-ethanol,Gasoline,0.48,Gasoline,#808080,TWh
Imp. Diesel,Diesel,69.23,Diesel,#D3D3D3,TWh
Imp. Bio-diesel,Diesel,2.87,Diesel,#D3D3D3,TWh
Diesel,Mob priv,39.55,Diesel,#D3D3D3,TWh
Diesel,Mob public,4.46,Diesel,#D3D3D3,TWh
Diesel,Freight,28.08,Diesel,#D3D3D3,TWh
Imp. NG,Gas,147.80,Gas,#FFD700,TWh
Gas Prod,Gas,2.66,NG,#FFD700,TWh
Gas,Mob priv,0.80,NG,#FFD700,TWh
Gas,Mob public,0.98,NG,#FFD700,TWh
Gas,Freight,1.78,NG,#FFD700,TWh
Gas,Elec,33.10,NG,#FFD700,TWh
Gas,CHP,20.42,NG,#FFD700,TWh
Gas,Boilers,93.37,NG,#FFD700,TWh
Electricity,Elec,20.97,Electricity,#00BFFF,TWh
Uranium,Elec,73.75,Nuclear,#FFC0CB,TWh
Wind,Elec,5.01,Wind,#27AE34,TWh
Hydro River,Elec,0.36,Hydro River,#0000FF,TWh
Coal,Elec,7.52,Coal,#A0522D,TWh
Coal,Boilers,25.84,Coal,#A0522D,TWh
Solar,Elec,3.38,Solar,#FFFF00,TWh
Solar,Dec. sto,0.00,Solar,#FFFF00,TWh
Solar,Heat LT Dec,0.30,Solar,#FFFF00,TWh
Geothermal,DHN,0.03,Geothermal,#FF0000,TWh
Waste,CHP,9.78,Waste,#808000,TWh
Imp. Oil,Oil,101.12,Oil,#8B008B,TWh
Oil,Boilers,101.12,Oil,#8B008B,TWh
Wood,CHP,0.41,Wood,#CD853F,TWh
Wood,Boilers,17.54,Wood,#CD853F,TWh
Wet biomass,Biomethanation,8.89,Wood,#CD853F,TWh
Biomethanation,Gas Prod,2.66,NG,#FFD700,TWh
Elec,Mob public,1.03,Electricity,#00BFFF,TWh
Elec,Freight,0.58,Electricity,#00BFFF,TWh
Elec,Exp & Loss,4.14,Electricity,#00BFFF,TWh
Elec,Elec demand,81.79,Electricity,#00BFFF,TWh
Elec,HPs,0.64,Electricity,#00BFFF,TWh
CHP,Elec,11.21,Electricity,#00BFFF,TWh
CHP,Dec. sto,0.00,Heat LT,#FA8072,TWh
CHP,Heat LT Dec,1.03,Heat LT,#FA8072,TWh
CHP,DHN,2.64,Heat LT,#FA8072,TWh
CHP,Heat HT,9.93,Heat HT,#DC143C,TWh
HPs,Heat LT Dec,1.63,Heat LT,#FA8072,TWh
HPs,DHN,0.14,Heat LT,#FA8072,TWh
Boilers,Dec. sto,0.00,Heat LT,#FA8072,TWh
Boilers,Heat LT Dec,144.76,Heat LT,#FA8072,TWh
Boilers,DHN,0.48,Heat LT,#FA8072,TWh
Boilers,Heat HT,60.02,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,3.01,Heat LT,#FA8072,TWh
DHN,Loss DHN,0.29,Heat LT,#FA8072,TWh
